t,Open,High,Low,Close,Volume,Volume_Weighted,Index
2022-10-26 00:00:00,0.63839,0.63893,0.6376,0.63802,1791,0.6384,0
2022-10-26 00:15:00,0.63805,0.63825,0.6373,0.63805,1751,0.6379,1
2022-10-26 00:30:00,0.63806,0.64031,0.6377,0.63804,2339,0.6386,2
2022-10-26 00:45:00,0.63805,0.63822,0.637,0.63792,2208,0.6378,3
2022-10-26 01:00:00,0.63792,0.63834,0.6371,0.63826,2160,0.638,4
2022-10-26 01:15:00,0.6383,0.63931,0.638,0.63844,2665,0.6388,5
2022-10-26 01:30:00,0.63837,0.63919,0.6382,0.6387,2550,0.6387,6
2022-10-26 01:45:00,0.6387,0.63937,0.6381,0.63842,2366,0.6388,7
2022-10-26 02:00:00,0.63838,0.63897,0.6381,0.63895,2081,0.6386,8
2022-10-26 02:15:00,0.63894,0.63915,0.6382,0.63876,1760,0.6388,9
2022-10-26 02:30:00,0.63877,0.63922,0.6383,0.63919,1891,0.6388,10
2022-10-26 02:45:00,0.63917,0.63958,0.6385,0.63927,1886,0.6392,11
2022-10-26 03:00:00,0.63926,0.63961,0.6388,0.63936,2042,0.6393,12
2022-10-26 03:15:00,0.63934,0.64044,0.639,0.64037,1791,0.6398,13
2022-10-26 03:30:00,0.63991,0.64012,0.6394,0.64009,1301,0.6399,14
2022-10-26 03:45:00,0.6401,0.64088,0.6398,0.64076,1701,0.6405,15
2022-10-26 04:00:00,0.6408,0.64083,0.6399,0.64032,1602,0.6404,16
2022-10-26 04:15:00,0.64034,0.64063,0.64,0.6406,1461,0.6403,17
2022-10-26 04:30:00,0.64059,0.64114,0.6403,0.64099,1622,0.6408,18
2022-10-26 04:45:00,0.6409,0.64106,0.6399,0.6402,1334,0.6405,19
2022-10-26 05:00:00,0.64017,0.64037,0.6394,0.63973,1653,0.64,20
2022-10-26 05:15:00,0.63972,0.64057,0.6395,0.64056,1749,0.6401,21
2022-10-26 05:30:00,0.64055,0.64155,0.64,0.64133,2057,0.6407,22
2022-10-26 05:45:00,0.64132,0.64142,0.6404,0.64092,1778,0.641,23
2022-10-26 06:00:00,0.64091,0.64229,0.6403,0.64218,2192,0.6413,24
2022-10-26 06:15:00,0.64217,0.64236,0.6417,0.6421,1820,0.6421,25
