t,Open,High,Low,Close,Volume,Volume_Weighted,Index
2022-10-22 08:15:00,1.3454,1.3454,1.3454,1.3454,1,1.3454,0
2022-10-22 08:30:00,1.345,1.345,1.345,1.345,1,1.345,1
2022-10-22 08:45:00,1.3454,1.3454,1.3454,1.3454,2,1.3454,2
2022-10-22 09:30:00,1.345,1.345,1.345,1.345,1,1.345,3
2022-10-22 10:00:00,1.3454,1.3454,1.3454,1.3454,1,1.3454,4
2022-10-22 11:00:00,1.345,1.345,1.345,1.345,1,1.345,5
2022-10-22 11:15:00,1.3454,1.3454,1.3454,1.3454,1,1.3454,6
2022-10-23 18:00:00,1.34492,1.34492,1.34492,1.34492,1,1.3449,7
2022-10-23 18:45:00,1.3434,1.3434,1.3434,1.3434,1,1.3434,8
2022-10-23 19:00:00,1.34397,1.34397,1.34397,1.34397,1,1.344,9
2022-10-23 19:30:00,1.34265,1.34265,1.34265,1.34265,1,1.3426,10
2022-10-23 20:00:00,1.34384,1.34384,1.34384,1.34384,1,1.3438,11
2022-10-23 20:15:00,1.34566,1.34566,1.34566,1.34566,1,1.3457,12
2022-10-23 20:45:00,1.34614,1.34614,1.34614,1.34614,1,1.3461,13
2022-10-23 21:00:00,1.34614,1.34614,1.34614,1.34614,1,1.3461,14
2022-10-23 21:15:00,1.34617,1.34617,1.34475,1.34507,81,1.3453,15
2022-10-23 21:30:00,1.34546,1.34549,1.34496,1.34534,29,1.3454,16
2022-10-23 21:45:00,1.34635,1.34698,1.34618,1.34675,230,1.3465,17
2022-10-23 22:00:00,1.34618,1.34748,1.34537,1.34649,1114,1.3464,18
2022-10-23 22:15:00,1.34646,1.34662,1.34486,1.34576,1212,1.3457,19
2022-10-23 22:30:00,1.34575,1.34589,1.34471,1.34512,1104,1.3452,20
2022-10-23 22:45:00,1.34519,1.34561,1.34397,1.34426,1046,1.3448,21
2022-10-23 23:00:00,1.34424,1.34427,1.34332,1.34369,1144,1.3437,22
2022-10-23 23:15:00,1.34368,1.34398,1.34307,1.34359,1154,1.3436,23
2022-10-23 23:30:00,1.34358,1.34624,1.3433,1.34556,1521,1.3445,24
2022-10-23 23:45:00,1.34564,1.34637,1.3446,1.3452,1655,1.3455,25
2022-10-24 00:00:00,1.34557,1.34724,1.3451,1.34632,1788,1.3465,26
2022-10-24 00:15:00,1.3463,1.34656,1.3456,1.34622,2583,1.3462,27
2022-10-24 00:30:00,1.34619,1.34691,1.3456,1.34642,2989,1.3463,28
2022-10-24 00:45:00,1.34638,1.34677,1.3452,1.34622,2924,1.3462,29
2022-10-24 01:00:00,1.34618,1.34643,1.345,1.34545,2856,1.346,30
2022-10-24 01:15:00,1.34544,1.34568,1.3448,1.34557,3156,1.3454,31
2022-10-24 01:30:00,1.34551,1.3457,1.3437,1.3443,3103,1.3449,32
2022-10-24 01:45:00,1.34428,1.34478,1.3437,1.34465,2948,1.3444,33
2022-10-24 02:00:00,1.34474,1.34522,1.3442,1.3451,2993,1.3448,34
2022-10-24 02:15:00,1.34517,1.3454,1.3445,1.34534,2792,1.3451,35
2022-10-24 02:30:00,1.34533,1.3458,1.3446,1.34576,2601,1.3455,36
2022-10-24 02:45:00,1.34571,1.34616,1.3453,1.346,2538,1.3459,37
2022-10-24 03:00:00,1.34603,1.34647,1.3455,1.34597,2675,1.3461,38
2022-10-24 03:15:00,1.34597,1.34609,1.3451,1.34561,2572,1.3457,39
2022-10-24 03:30:00,1.34563,1.34638,1.3452,1.34607,2111,1.3461,40
2022-10-24 03:45:00,1.34609,1.34668,1.3456,1.34654,2298,1.3464,41
2022-10-24 04:00:00,1.34655,1.34675,1.346,1.34644,2313,1.3466,42
2022-10-24 04:15:00,1.34639,1.34698,1.3459,1.34697,2328,1.3466,43
2022-10-24 04:30:00,1.34691,1.34701,1.346,1.34685,2196,1.3467,44
2022-10-24 04:45:00,1.34684,1.34718,1.3462,1.347,2428,1.3469,45
2022-10-24 05:00:00,1.34705,1.34772,1.3466,1.34764,2613,1.3474,46
2022-10-24 05:15:00,1.3476,1.34777,1.347,1.3477,2562,1.3476,47
2022-10-24 05:30:00,1.34773,1.3483,1.3473,1.34813,2323,1.348,48
2022-10-24 05:45:00,1.34814,1.3485,1.3475,1.34813,2608,1.3482,49
2022-10-24 06:00:00,1.34816,1.34941,1.3478,1.34908,3008,1.3488,50
2022-10-24 06:15:00,1.34916,1.34927,1.3466,1.34713,2927,1.3479,51
2022-10-24 06:30:00,1.34717,1.34728,1.3461,1.34696,2665,1.3468,52
2022-10-24 06:45:00,1.34696,1.34793,1.3465,1.34793,2614,1.3474,53
2022-10-24 07:00:00,1.34791,1.3487,1.3472,1.34831,2915,1.3481,54
2022-10-24 07:15:00,1.34844,1.35042,1.3477,1.35009,2813,1.3491,55
2022-10-24 07:30:00,1.34979,1.34979,1.3476,1.34839,2744,1.3485,56
2022-10-24 07:45:00,1.3484,1.34897,1.3475,1.34839,2738,1.3485,57
2022-10-24 08:00:00,1.34833,1.34903,1.3472,1.34871,2918,1.3483,58
2022-10-24 08:15:00,1.34866,1.35044,1.3481,1.35025,2826,1.3495,59
2022-10-24 08:30:00,1.35028,1.35067,1.349,1.35058,2726,1.3501,60
2022-10-24 08:45:00,1.35058,1.3511,1.3499,1.35033,2707,1.3507,61
2022-10-24 09:00:00,1.35032,1.3505,1.3492,1.34991,2579,1.35,62
2022-10-24 09:15:00,1.34981,1.35084,1.3488,1.34923,2733,1.35,63
2022-10-24 09:30:00,1.34931,1.34967,1.348,1.34848,2686,1.3488,64
2022-10-24 09:45:00,1.34844,1.34867,1.3475,1.34848,2612,1.3483,65
2022-10-24 10:00:00,1.34841,1.34913,1.3474,1.34792,2629,1.3486,66
2022-10-24 10:15:00,1.34792,1.34867,1.3474,1.34774,2611,1.3481,67
2022-10-24 10:30:00,1.34776,1.34779,1.3465,1.34768,2730,1.3473,68
2022-10-24 10:45:00,1.34762,1.34803,1.3469,1.34719,2538,1.3476,69
2022-10-24 11:00:00,1.34715,1.34819,1.3464,1.3481,2794,1.3476,70
2022-10-24 11:15:00,1.34808,1.34889,1.3473,1.3477,2731,1.3483,71
2022-10-24 11:30:00,1.34764,1.34798,1.3457,1.34635,2804,1.3468,72
2022-10-24 11:45:00,1.34635,1.34823,1.3455,1.34814,2756,1.347,73
2022-10-24 12:00:00,1.34815,1.35017,1.3475,1.35017,2720,1.349,74
2022-10-24 12:15:00,1.35019,1.35154,1.3494,1.35021,2506,1.3505,75
2022-10-24 12:30:00,1.35014,1.35107,1.3496,1.35045,2830,1.3505,76
2022-10-24 12:45:00,1.35043,1.35071,1.3492,1.35009,2902,1.3502,77
2022-10-24 13:00:00,1.3501,1.35023,1.3478,1.3478,2907,1.3491,78
2022-10-24 13:15:00,1.34841,1.3491,1.3473,1.34897,2824,1.3484,79
2022-10-24 13:30:00,1.34898,1.35217,1.3484,1.35164,3000,1.3502,80
2022-10-24 13:45:00,1.35163,1.35415,1.3511,1.35374,2267,1.3531,81
2022-10-24 14:00:00,1.35371,1.35621,1.35367,1.35609,3076,1.355,82
2022-10-24 14:15:00,1.3561,1.35771,1.3555,1.35683,3089,1.357,83
2022-10-24 14:30:00,1.35695,1.35771,1.3563,1.35757,3024,1.3571,84
2022-10-24 14:45:00,1.35754,1.35834,1.356,1.35671,3113,1.3572,85
2022-10-24 15:00:00,1.35671,1.35696,1.3554,1.35649,2886,1.3564,86
2022-10-24 15:15:00,1.3566,1.35705,1.3545,1.35533,3059,1.3561,87
2022-10-24 15:30:00,1.35527,1.35576,1.3532,1.35372,2915,1.3546,88
2022-10-24 15:45:00,1.35373,1.35441,1.3525,1.35307,2939,1.3538,89
2022-10-24 16:00:00,1.35307,1.3535,1.3524,1.35319,2965,1.3532,90
2022-10-24 16:15:00,1.35316,1.35389,1.3526,1.35316,2805,1.3535,91
2022-10-24 16:30:00,1.35318,1.35385,1.3524,1.35349,2881,1.3534,92
2022-10-24 16:45:00,1.3535,1.35455,1.353,1.35386,2653,1.354,93
2022-10-24 17:00:00,1.35384,1.35491,1.3533,1.35464,2394,1.3543,94
2022-10-24 17:15:00,1.35466,1.35564,1.3542,1.35538,2342,1.3551,95
2022-10-24 17:30:00,1.35529,1.35584,1.3549,1.35541,2430,1.3556,96
2022-10-24 17:45:00,1.35536,1.35631,1.3547,1.35594,2330,1.3556,97
2022-10-24 18:00:00,1.35592,1.3566,1.3551,1.35622,2373,1.356,98
2022-10-24 18:15:00,1.35621,1.3564,1.3551,1.35576,2219,1.3561,99
2022-10-24 18:30:00,1.35576,1.35582,1.3545,1.35487,2075,1.3554,100
2022-10-24 18:45:00,1.3549,1.35533,1.354,1.35445,2303,1.3548,101
2022-10-24 19:00:00,1.35454,1.35465,1.3537,1.35445,2423,1.3544,102
2022-10-24 19:15:00,1.35452,1.35515,1.3539,1.35496,2123,1.3548,103
2022-10-24 19:30:00,1.35494,1.35518,1.3541,1.35486,2280,1.3548,104
2022-10-24 19:45:00,1.35479,1.35486,1.3533,1.35388,2311,1.3543,105
2022-10-24 20:00:00,1.35397,1.35426,1.3531,1.35365,1963,1.3539,106
2022-10-24 20:15:00,1.35366,1.35393,1.3529,1.35378,1602,1.3536,107
2022-10-24 20:30:00,1.35375,1.35381,1.3529,1.35342,1032,1.3535,108
2022-10-24 20:45:00,1.35344,1.35356,1.35268,1.35278,1411,1.3533,109
2022-10-24 21:00:00,1.35278,1.3552,1.35275,1.353,247,1.3533,110
2022-10-24 21:15:00,1.3531,1.3534,1.35261,1.35322,251,1.3531,111
2022-10-24 21:30:00,1.35325,1.35341,1.3529,1.35309,232,1.3532,112
