t,Open,High,Low,Close,Volume,Volume_Weighted,Index
2022-09-28 00:00:00,138.844,138.887,138.77,138.813,3815,138.8413,0
2022-09-28 00:15:00,138.815,138.868,138.77,138.794,3475,138.8332,1
2022-09-28 00:30:00,138.799,138.81,138.57,138.59,3737,138.7217,2
2022-09-28 00:45:00,138.615,138.644,138.42,138.547,4281,138.5624,3
2022-09-28 01:00:00,138.544,138.561,138.39,138.509,4642,138.4952,4
2022-09-28 01:15:00,138.51,138.569,138.389,138.409,4709,138.4872,5
2022-09-28 01:30:00,138.408,138.47,138.278,138.29,4950,138.418,6
2022-09-28 01:45:00,138.28,138.328,138.1,138.324,5186,138.2206,7
2022-09-28 02:00:00,138.322,138.401,138.226,138.31,4916,138.3204,8
2022-09-28 02:15:00,138.31,138.355,138.163,138.317,4888,138.2946,9
2022-09-28 02:30:00,138.316,138.338,138.18,138.229,4687,138.2693,10
2022-09-28 02:45:00,138.227,138.245,138.05,138.102,4280,138.1835,11
2022-09-28 03:00:00,138.103,138.293,138.09,138.277,4312,138.2407,12
2022-09-28 03:15:00,138.275,138.334,138.23,138.331,3995,138.2881,13
2022-09-28 03:30:00,138.319,138.33,138.24,138.276,3691,138.3028,14
2022-09-28 03:45:00,138.27,138.33585,138.22,138.308,3937,138.2848,15
2022-09-28 04:00:00,138.303,138.332,138.21,138.278,3893,138.2956,16
2022-09-28 04:15:00,138.283,138.34,138.22,138.317,3882,138.3038,17
2022-09-28 04:30:00,138.321,138.373,138.16,138.223,4250,138.296,18
2022-09-28 04:45:00,138.22,138.283,138.0,138.17597,4227,138.1504,19
2022-09-28 05:00:00,138.165,138.183,138.07,138.141,4575,138.1515,20
2022-09-28 05:15:00,138.145,138.226,138.09,138.187,4368,138.1845,21
2022-09-28 05:30:00,138.191,138.307,138.09,138.3,4238,138.218,22
2022-09-28 05:45:00,138.299,138.32395,138.17,138.214,4655,138.2902,23
2022-09-28 06:00:00,138.24,138.424,138.11,138.382,5166,138.3557,24
2022-09-28 06:15:00,138.384,138.465,138.22,138.418,5200,138.3618,25
2022-09-28 06:30:00,138.424,138.449,138.29,138.327,5227,138.393,26
2022-09-28 06:45:00,138.337,138.352,138.05,138.104,5369,138.2618,27
2022-09-28 07:00:00,138.128,138.316,138.08,138.22,5509,138.2252,28
2022-09-28 07:15:00,138.198,138.274,138.1,138.157,5614,138.2043,29
2022-09-28 07:30:00,138.167,138.312,138.08,138.283,5688,138.2137,30
2022-09-28 07:45:00,138.288,138.535,138.13,138.446,5622,138.3302,31
2022-09-28 08:00:00,138.45,138.657,138.38,138.504,5749,138.5181,32
2022-09-28 08:15:00,138.5,138.566,138.34,138.41,5548,138.4689,33
2022-09-28 08:30:00,138.41,138.42,138.08,138.23,4930,138.2942,34
2022-09-28 08:45:00,138.23,138.286,138.1,138.286,4219,138.2223,35
2022-09-28 09:00:00,138.289,138.37,138.12,138.307,4409,138.2883,36
2022-09-28 09:15:00,138.295,138.308,138.0,138.202,4586,138.1566,37
2022-09-28 09:30:00,138.14,138.332,138.13,138.313,4614,138.25,38
2022-09-28 09:45:00,138.316,138.362,138.11,138.163,4694,138.254,39
2022-09-28 10:00:00,138.161,138.778,138.073,138.57,5943,138.424,40
2022-09-28 10:15:00,138.61,138.657,138.37,138.537,5825,138.5462,41
2022-09-28 10:30:00,138.536,138.623,138.31,138.369,6033,138.454,42
2022-09-28 10:45:00,138.32,138.517,138.18,138.513,5684,138.3632,43
2022-09-28 11:00:00,138.505,138.521,138.17,138.345,5805,138.3472,44
2022-09-28 11:15:00,138.346,138.363,138.19,138.278,5718,138.294,45
2022-09-28 11:30:00,138.278,138.482,138.21,138.449,5699,138.39,46
2022-09-28 11:45:00,138.449,138.476,138.24,138.461,5529,138.3882,47
2022-09-28 12:00:00,138.456,138.548,138.31,138.383,5622,138.4643,48
2022-09-28 12:15:00,138.381,138.634,138.27,138.548,5692,138.4843,49
2022-09-28 12:30:00,138.554,138.684,138.42,138.627,5750,138.5709,50
2022-09-28 12:45:00,138.623,138.699,138.44,138.592,5628,138.5822,51
2022-09-28 13:00:00,138.592,138.675,138.43,138.543,5491,138.566,52
2022-09-28 13:15:00,138.536,138.59,138.38,138.406,5587,138.5137,53
2022-09-28 13:30:00,138.404,138.709,138.3,138.655,5858,138.4485,54
2022-09-28 13:45:00,138.649,139.054,138.58,138.774,5885,138.8628,55
2022-09-28 14:00:00,138.74,138.899,138.65,138.872,5795,138.7566,56
2022-09-28 14:15:00,138.877,138.882,138.58,138.794,5520,138.7164,57
2022-09-28 14:30:00,138.807,139.141,138.69,139.137,5565,138.9604,58
2022-09-28 14:45:00,139.12,139.269,138.9,139.251,5767,139.0926,59
2022-09-28 15:00:00,139.241,139.402,139.07,139.178,5511,139.2334,60
2022-09-28 15:15:00,139.179,139.307,139.08,139.194,5904,139.2174,61
2022-09-28 15:30:00,139.193,139.29,139.11,139.258,5889,139.2259,62
2022-09-28 15:45:00,139.26,139.695,139.21,139.48,5675,139.5067,63
2022-09-28 16:00:00,139.47,139.861,139.47,139.793,5891,139.7387,64
2022-09-28 16:15:00,139.793,139.833,139.66,139.714,5355,139.789,65
2022-09-28 16:30:00,139.724,139.923,139.67,139.893,5478,139.8132,66
2022-09-28 16:45:00,139.88,139.972,139.82,139.918,5409,139.922,67
2022-09-28 17:00:00,139.919,140.159,139.83,140.13,5596,140.0371,68
2022-09-28 17:15:00,140.13,140.261,140.05,140.22,5512,140.1766,69
2022-09-28 17:30:00,140.216,140.292,140.11,140.234,4787,140.2318,70
2022-09-28 17:45:00,140.238,140.251,140.07,140.226,4646,140.1769,71
2022-09-28 18:00:00,140.226,140.235,140.08,140.21,4427,140.1753,72
2022-09-28 18:15:00,140.207,140.299,140.13,140.273,4062,140.2339,73
2022-09-28 18:30:00,140.267,140.317,140.18,140.306,4458,140.2797,74
2022-09-28 18:45:00,140.304,140.399,140.18,140.278,5035,140.3088,75
2022-09-28 19:00:00,140.278,140.32176,140.13,140.244,4988,140.2378,76
2022-09-28 19:15:00,140.243,140.253,140.11,140.178,4340,140.2204,77
2022-09-28 19:30:00,140.174,140.243,140.08,140.242,4081,140.1911,78
2022-09-28 19:45:00,140.241,140.303,140.17,140.238,3816,140.2625,79
2022-09-28 20:00:00,140.239,140.3241,140.17,140.271,3595,140.2747,80
2022-09-28 20:15:00,140.264,140.31638,140.19,140.293,2236,140.2655,81
2022-09-28 20:30:00,140.294,140.37006,140.26,140.26,2360,140.3164,82
2022-09-28 20:45:00,140.289,140.36,140.211,140.3,2257,140.2913,83
