t,Open,High,Low,Close,Volume,Volume_Weighted,Index
2022-10-24 00:00:00,167.322,168.284,167.219,168.104,3733,167.9367,0
2022-10-24 00:15:00,168.101,168.339,167.782,168.30817,2702,168.1273,1
2022-10-24 00:30:00,168.309,168.404,167.843,168.296,2989,168.2405,2
2022-10-24 00:45:00,168.3,168.76,168.162,168.438,3353,168.4222,3
2022-10-24 01:00:00,168.454,168.747,168.393,168.708,3047,168.6027,4
2022-10-24 01:15:00,168.71,168.749,168.214,168.535,3305,168.5324,5
2022-10-24 01:30:00,168.55,168.818,168.502,168.645,3242,168.7091,6
2022-10-24 01:45:00,168.649,168.753,168.412,168.601,2808,168.5839,7
2022-10-24 02:00:00,168.61,168.643,168.219,168.366,3188,168.4371,8
2022-10-24 02:15:00,168.368,168.626,168.273,168.626,2774,168.4805,9
2022-10-24 02:30:00,168.625,168.656,168.464,168.538,2604,168.5896,10
2022-10-24 02:45:00,168.543,168.606,168.373,168.428,2403,168.539,11
2022-10-24 03:00:00,168.444,168.467,168.232,168.42,2269,168.4074,12
2022-10-24 03:15:00,168.42,168.449,168.238,168.331,2081,168.3741,13
2022-10-24 03:30:00,168.363,168.424,168.294,168.38,1867,168.3681,14
2022-10-24 03:45:00,168.379,168.38982,168.235,168.305,2026,168.3094,15
2022-10-24 04:00:00,168.308,168.458,168.28,168.352,1877,168.3975,16
2022-10-24 04:15:00,168.339,168.65,168.291,168.632,2110,168.4652,17
2022-10-24 04:30:00,168.641,168.89,168.581,168.844,1680,168.7324,18
2022-10-24 04:45:00,168.845,169.005,168.83,168.96,1955,168.9447,19
2022-10-24 05:00:00,168.96,168.968,168.728,168.877,2102,168.8777,20
2022-10-24 05:15:00,168.841,168.953,168.756,168.849,2095,168.8948,21
2022-10-24 05:30:00,168.849,168.966,168.789,168.935,2075,168.9028,22
2022-10-24 05:45:00,168.938,169.242,168.884,169.077,2273,169.0623,23
2022-10-24 06:00:00,169.086,169.5,169.034,169.403,2845,169.3376,24
2022-10-24 06:15:00,169.361,169.428,169.1,169.169,2842,169.3018,25
2022-10-24 06:30:00,169.162,169.242,168.917,169.2,3294,169.0953,26
2022-10-24 06:45:00,169.192,169.375,169.13,169.282,3311,169.2372,27
2022-10-24 07:00:00,169.291,169.451,169.147,169.231,3574,169.3367,28
2022-10-24 07:15:00,169.231,169.369,169.09,169.19,3324,169.2454,29
2022-10-24 07:30:00,169.121,169.273,168.884,169.02,3173,169.1244,30
2022-10-24 07:45:00,169.018,169.149,168.92,169.048,3180,169.0295,31
2022-10-24 08:00:00,169.053,169.209,168.878,169.198,3452,169.0441,32
2022-10-24 08:15:00,169.192,169.29,168.97,169.181,3356,169.1549,33
2022-10-24 08:30:00,168.861,169.057,168.76,169.052,3307,168.9395,34
2022-10-24 08:45:00,169.064,169.205,168.988,169.112,3339,169.114,35
2022-10-24 09:00:00,169.138,169.145,168.91,168.971,3066,169.0136,36
2022-10-24 09:15:00,168.974,169.1,168.86,168.958,3333,168.9744,37
2022-10-24 09:30:00,168.959,169.097,168.805,168.959,3217,168.9721,38
2022-10-24 09:45:00,168.971,169.351,168.93,169.324,3200,169.1973,39
2022-10-24 10:00:00,169.317,169.417,169.21,169.264,3190,169.3268,40
2022-10-24 10:15:00,169.275,169.455,169.18,169.19,3119,169.3302,41
2022-10-24 10:30:00,169.183,169.27,168.9,168.949,3254,169.0718,42
2022-10-24 10:45:00,168.949,169.004,168.776,168.851,2930,168.9091,43
2022-10-24 11:00:00,168.846,168.884,168.45,168.532,3154,168.6688,44
2022-10-24 11:15:00,168.537,168.679,168.39,168.659,3029,168.522,45
2022-10-24 11:30:00,168.676,168.742,168.43,168.505,3070,168.5907,46
2022-10-24 11:45:00,168.507,168.669,167.788,168.494,3554,168.4106,47
2022-10-24 12:00:00,168.507,168.602,168.291,168.546,3376,168.4912,48
2022-10-24 12:15:00,168.53,168.575,168.41,168.479,2928,168.5015,49
2022-10-24 12:30:00,168.482,168.566,168.346,168.538,3379,168.4512,50
2022-10-24 12:45:00,168.529,168.834,168.41,168.802,3407,168.547,51
2022-10-24 13:00:00,168.802,168.848,168.32,168.427,3410,168.5055,52
2022-10-24 13:15:00,168.419,168.428,168.232,168.235,3195,168.3323,53
