t,Open,High,Low,Close,Volume,Volume_Weighted,Index
2022-10-25 00:00:00,1.13059,1.13129,1.12949,1.13085,2647,1.1304,0
2022-10-25 00:15:00,1.13087,1.1321,1.13031,1.13156,2219,1.1311,1
2022-10-25 00:30:00,1.13158,1.13237,1.13149,1.13195,2529,1.132,2
2022-10-25 00:45:00,1.13195,1.1325,1.13142,1.13183,2711,1.1319,3
2022-10-25 01:00:00,1.13184,1.13219,1.1309,1.13134,2784,1.1315,4
2022-10-25 01:15:00,1.13136,1.1314,1.12904,1.13049,2821,1.1305,5
2022-10-25 01:30:00,1.13048,1.13126,1.12972,1.13108,2778,1.1306,6
2022-10-25 01:45:00,1.13109,1.13242,1.1309,1.1317,2791,1.1318,7
2022-10-25 02:00:00,1.13168,1.132,1.1309,1.13098,2637,1.1315,8
2022-10-25 02:15:00,1.13122,1.13154,1.13023,1.13048,2154,1.1309,9
2022-10-25 02:30:00,1.13048,1.13067,1.12953,1.13015,1941,1.1302,10
2022-10-25 02:45:00,1.13025,1.13067,1.12983,1.13053,1900,1.1303,11
2022-10-25 03:00:00,1.13054,1.13089,1.12984,1.12985,2050,1.1304,12
2022-10-25 03:15:00,1.12981,1.1313,1.1293,1.13054,2000,1.1301,13
2022-10-25 03:30:00,1.13084,1.13136,1.1302,1.1305,1885,1.1307,14
2022-10-25 03:45:00,1.13047,1.13063,1.12982,1.13018,1871,1.1302,15
2022-10-25 04:00:00,1.13014,1.13054,1.12966,1.1304,2035,1.1301,16
2022-10-25 04:15:00,1.13019,1.13054,1.12955,1.12993,2234,1.1299,17
2022-10-25 04:30:00,1.13016,1.1302,1.12918,1.12969,1936,1.1298,18
2022-10-25 04:45:00,1.12965,1.12996,1.12933,1.12988,1837,1.1296,19
2022-10-25 05:00:00,1.12987,1.1304,1.129,1.12944,2168,1.1298,20
2022-10-25 05:15:00,1.12919,1.1297,1.1288,1.12885,2421,1.1292,21
2022-10-25 05:30:00,1.12884,1.12945,1.12785,1.12786,2284,1.1288,22
2022-10-25 05:45:00,1.12785,1.12852,1.12693,1.12752,2295,1.1278,23
2022-10-25 06:00:00,1.12707,1.12859,1.12693,1.12769,2237,1.128,24
2022-10-25 06:15:00,1.1277,1.1292,1.1276,1.1287,2431,1.1283,25
2022-10-25 06:30:00,1.12904,1.12934,1.1273,1.12765,2842,1.1285,26
2022-10-25 06:45:00,1.12756,1.129,1.1273,1.12897,2518,1.1282,27
2022-10-25 07:00:00,1.129,1.13,1.1274,1.12763,2923,1.1286,28
2022-10-25 07:15:00,1.12755,1.12935,1.1274,1.12899,2867,1.1287,29
2022-10-25 07:30:00,1.12898,1.13068,1.1288,1.13021,2741,1.1299,30
2022-10-25 07:45:00,1.13029,1.1304,1.1289,1.1295,2651,1.1296,31
2022-10-25 08:00:00,1.12934,1.13222,1.12906,1.13143,2770,1.1307,32
2022-10-25 08:15:00,1.13148,1.1317,1.1304,1.13096,2628,1.131,33
2022-10-25 08:30:00,1.13096,1.13322,1.1307,1.13249,2731,1.1322,34
2022-10-25 08:45:00,1.13251,1.13293,1.1314,1.13195,2806,1.132,35
2022-10-25 09:00:00,1.13197,1.13294,1.13175,1.13211,2520,1.1322,36
2022-10-25 09:15:00,1.13212,1.13283,1.1319,1.13262,2459,1.1324,37
2022-10-25 09:30:00,1.13263,1.13406,1.13224,1.13314,2518,1.1332,38
2022-10-25 09:45:00,1.13308,1.13318,1.1309,1.13228,2607,1.1318,39
2022-10-25 10:00:00,1.1322,1.13301,1.1313,1.13255,2585,1.1323,40
2022-10-25 10:15:00,1.1326,1.1335,1.13188,1.13257,2370,1.1329,41
2022-10-25 10:30:00,1.13258,1.13403,1.1322,1.1337,2138,1.133,42
2022-10-25 10:45:00,1.13372,1.134,1.1321,1.13331,2070,1.1332,43
2022-10-25 11:00:00,1.13334,1.13363,1.1322,1.13248,2327,1.1328,44
2022-10-25 11:15:00,1.13248,1.13274,1.1312,1.13248,2578,1.1319,45
2022-10-25 11:30:00,1.13238,1.13267,1.1314,1.13182,2444,1.132,46
2022-10-25 11:45:00,1.13182,1.13249,1.131,1.13131,2511,1.1319,47
2022-10-25 12:00:00,1.13118,1.13177,1.1304,1.13166,2635,1.1311,48
2022-10-25 12:15:00,1.13163,1.13294,1.1313,1.13286,2360,1.1322,49
2022-10-25 12:30:00,1.13294,1.134,1.1321,1.13389,2317,1.1331,50
2022-10-25 12:45:00,1.1339,1.13641,1.1337,1.13628,2379,1.1354,51
2022-10-25 13:00:00,1.13632,1.13971,1.136,1.13929,2831,1.1378,52
2022-10-25 13:15:00,1.13933,1.14203,1.13929,1.1419,2955,1.1408,53
2022-10-25 13:30:00,1.14189,1.14495,1.14158,1.14486,3085,1.1435,54
2022-10-25 13:45:00,1.14495,1.14888,1.14487,1.14855,3173,1.1475,55
2022-10-25 14:00:00,1.14856,1.1499,1.14526,1.14657,3259,1.1481,56
2022-10-25 14:15:00,1.14654,1.14729,1.1445,1.1465,2993,1.1458,57
2022-10-25 14:30:00,1.14659,1.14828,1.14599,1.14787,2755,1.1471,58
2022-10-25 14:45:00,1.14784,1.14869,1.1456,1.14583,2964,1.1468,59
2022-10-25 15:00:00,1.14585,1.14735,1.1455,1.14634,2847,1.1464,60
2022-10-25 15:15:00,1.14636,1.14958,1.14626,1.14905,2906,1.1478,61
2022-10-25 15:30:00,1.14899,1.14934,1.14771,1.14837,2803,1.1487,62
2022-10-25 15:45:00,1.14821,1.14863,1.1464,1.14671,2736,1.1477,63
2022-10-25 16:00:00,1.14665,1.1478,1.146,1.14718,2669,1.1467,64
2022-10-25 16:15:00,1.14717,1.14798,1.146,1.14669,2828,1.1471,65
2022-10-25 16:30:00,1.14664,1.14834,1.1464,1.14786,2671,1.1476,66
2022-10-25 16:45:00,1.14783,1.14798,1.1459,1.14695,2796,1.1469,67
2022-10-25 17:00:00,1.14693,1.14765,1.1461,1.14675,2834,1.147,68
2022-10-25 17:15:00,1.14672,1.14723,1.1464,1.14679,2539,1.1468,69
2022-10-25 17:30:00,1.14678,1.14715,1.1462,1.14679,2412,1.1468,70
2022-10-25 17:45:00,1.14672,1.1479,1.1466,1.14781,2342,1.1471,71
2022-10-25 18:00:00,1.14778,1.14883,1.1476,1.14806,2522,1.1483,72
2022-10-25 18:15:00,1.14802,1.14827,1.1474,1.14827,2156,1.1479,73
2022-10-25 18:30:00,1.14821,1.14828,1.1466,1.14673,2284,1.1476,74
2022-10-25 18:45:00,1.14668,1.1474,1.146,1.14709,2086,1.1466,75
2022-10-25 19:00:00,1.14709,1.14751,1.1466,1.14747,1995,1.147,76
2022-10-25 19:15:00,1.14747,1.1476,1.1469,1.14719,1909,1.1474,77
2022-10-25 19:30:00,1.14718,1.1477,1.1464,1.14676,1927,1.1469,78
2022-10-25 19:45:00,1.14678,1.1471,1.1463,1.14705,2255,1.1468,79
2022-10-25 20:00:00,1.14706,1.1475,1.1468,1.14747,2166,1.1471,80
2022-10-25 20:15:00,1.14744,1.1477,1.1469,1.14761,1308,1.1473,81
2022-10-25 20:30:00,1.14761,1.1478,1.1474,1.14757,1008,1.1476,82
2022-10-25 20:45:00,1.1476,1.14784,1.14677,1.1469,1302,1.1475,83
2022-10-25 21:00:00,1.1469,1.1476,1.1464,1.1469,131,1.1471,84
2022-10-25 21:15:00,1.1471,1.1479,1.1468,1.14739,290,1.1474,85
2022-10-25 21:30:00,1.14752,1.1478,1.14678,1.14698,1470,1.1471,86
2022-10-25 21:45:00,1.14706,1.1477,1.14669,1.14694,2774,1.1469,87
2022-10-25 22:00:00,1.14701,1.1471,1.14543,1.14596,1145,1.1459,88
2022-10-25 22:15:00,1.14591,1.1468,1.1456,1.14587,2425,1.1462,89
2022-10-25 22:30:00,1.14598,1.1463,1.14528,1.14544,2239,1.1459,90
2022-10-25 22:45:00,1.14548,1.146,1.14491,1.14564,1969,1.1455,91
2022-10-25 23:00:00,1.14562,1.14577,1.145,1.14568,2239,1.1453,92
2022-10-25 23:15:00,1.14569,1.1464,1.14545,1.1456,2139,1.1459,93
2022-10-25 23:30:00,1.14562,1.146,1.14533,1.1455,1834,1.1457,94
2022-10-25 23:45:00,1.14549,1.1462,1.14526,1.1457,2147,1.1457,95
2022-10-26 00:00:00,1.14584,1.14652,1.14466,1.1448,2747,1.1458,96
2022-10-26 00:15:00,1.14484,1.14525,1.1441,1.14514,2360,1.1447,97
2022-10-26 00:30:00,1.14514,1.14542,1.14398,1.14442,3002,1.1446,98
2022-10-26 00:45:00,1.14443,1.14464,1.14303,1.14383,3194,1.1438,99
2022-10-26 01:00:00,1.14382,1.14446,1.1429,1.14363,2526,1.1437,100
2022-10-26 01:15:00,1.14371,1.14472,1.1436,1.14384,2753,1.1443,101
2022-10-26 01:30:00,1.14383,1.14483,1.1437,1.14446,2526,1.1443,102
2022-10-26 01:45:00,1.14446,1.14512,1.1435,1.14409,2215,1.1445,103
2022-10-26 02:00:00,1.14412,1.14498,1.14366,1.14496,2022,1.1445,104
2022-10-26 02:15:00,1.14491,1.1451,1.14399,1.14476,2396,1.1447,105
2022-10-26 02:30:00,1.14479,1.14548,1.14402,1.14547,1544,1.1447,106
2022-10-26 02:45:00,1.14547,1.1459,1.14458,1.14504,2117,1.1453,107
2022-10-26 03:00:00,1.14529,1.14588,1.14496,1.14561,2026,1.1455,108
2022-10-26 03:15:00,1.14561,1.14665,1.14521,1.1463,2172,1.146,109
2022-10-26 03:30:00,1.146,1.1461,1.14456,1.1453,1255,1.1454,110
2022-10-26 03:45:00,1.14531,1.14626,1.145,1.14586,1759,1.1457,111
2022-10-26 04:00:00,1.14586,1.14636,1.14496,1.14536,2130,1.1457,112
2022-10-26 04:15:00,1.14532,1.14543,1.14433,1.14518,1688,1.1448,113
2022-10-26 04:30:00,1.14494,1.14566,1.14441,1.14546,2306,1.1451,114
2022-10-26 04:45:00,1.1455,1.14581,1.14487,1.14505,1908,1.1454,115
2022-10-26 05:00:00,1.14501,1.14567,1.14433,1.14459,2291,1.1452,116
2022-10-26 05:15:00,1.14457,1.14622,1.1443,1.14589,2046,1.1454,117
2022-10-26 05:30:00,1.14612,1.14666,1.14514,1.14653,2672,1.1458,118
2022-10-26 05:45:00,1.14651,1.14653,1.14504,1.14529,2557,1.1458,119
2022-10-26 06:00:00,1.14526,1.148,1.14492,1.14768,2949,1.1464,120
2022-10-26 06:15:00,1.14771,1.1481,1.14669,1.14724,2154,1.1473,121
2022-10-26 06:30:00,1.14742,1.14875,1.1468,1.14861,2452,1.1477,122
2022-10-26 06:45:00,1.1485,1.14861,1.14757,1.14813,2791,1.1481,123
2022-10-26 07:00:00,1.14829,1.14894,1.147,1.14866,3456,1.148,124
2022-10-26 07:15:00,1.14858,1.15498,1.148,1.15494,3269,1.1516,125
2022-10-26 07:30:00,1.15485,1.15778,1.1537,1.15752,3088,1.1549,126
2022-10-26 07:45:00,1.15757,1.15765,1.1555,1.15681,3029,1.1567,127
2022-10-26 08:00:00,1.15683,1.15873,1.15654,1.15723,3145,1.1576,128
2022-10-26 08:15:00,1.15723,1.1576,1.1555,1.15698,3146,1.1567,129
2022-10-26 08:30:00,1.15697,1.15977,1.15671,1.15909,3262,1.1585,130
2022-10-26 08:45:00,1.15918,1.16062,1.15813,1.16001,3179,1.1592,131
2022-10-26 09:00:00,1.16,1.16194,1.15929,1.15962,2982,1.1605,132
2022-10-26 09:15:00,1.15967,1.16015,1.15744,1.15764,2931,1.1588,133
2022-10-26 09:30:00,1.15764,1.15841,1.157,1.1574,2990,1.1578,134
2022-10-26 09:45:00,1.15731,1.15806,1.15622,1.15719,3093,1.1572,135
2022-10-26 10:00:00,1.15716,1.15896,1.15594,1.1562,3225,1.1574,136
2022-10-26 10:15:00,1.15627,1.15635,1.15468,1.15573,2825,1.1556,137
2022-10-26 10:30:00,1.15571,1.15716,1.15549,1.15647,2757,1.1563,138
2022-10-26 10:45:00,1.15649,1.15769,1.15615,1.1564,2997,1.1569,139
2022-10-26 11:00:00,1.15646,1.15839,1.156,1.15747,2649,1.1574,140
2022-10-26 11:15:00,1.15746,1.15853,1.1572,1.158,2865,1.1578,141
2022-10-26 11:30:00,1.158,1.15867,1.1574,1.15805,2622,1.158,142
2022-10-26 11:45:00,1.15808,1.15844,1.15578,1.15633,2569,1.1569,143
2022-10-26 12:00:00,1.15625,1.15769,1.1554,1.1574,2682,1.1562,144
2022-10-26 12:15:00,1.15738,1.15789,1.15554,1.15608,2590,1.1566,145
2022-10-26 12:30:00,1.1561,1.15719,1.15547,1.157,2829,1.1564,146
2022-10-26 12:45:00,1.15688,1.15688,1.15452,1.15545,2891,1.1556,147
2022-10-26 13:00:00,1.15551,1.156,1.1543,1.15498,2817,1.1553,148
2022-10-26 13:15:00,1.15497,1.15594,1.15445,1.15525,2758,1.1551,149
2022-10-26 13:30:00,1.15522,1.1582,1.15472,1.15666,2934,1.1565,150
2022-10-26 13:45:00,1.15662,1.1581,1.1563,1.15648,2927,1.1571,151
2022-10-26 14:00:00,1.1564,1.15903,1.15632,1.15723,827,1.1579,152
2022-10-26 14:15:00,1.15865,1.15879,1.1564,1.15708,998,1.1572,153
2022-10-26 14:30:00,1.1572,1.15757,1.156,1.15714,2785,1.1567,154
2022-10-26 14:45:00,1.1572,1.16135,1.1569,1.16004,2760,1.1597,155
2022-10-26 15:00:00,1.16015,1.16108,1.15908,1.16095,2938,1.1601,156
2022-10-26 15:15:00,1.161,1.16162,1.16008,1.1604,2866,1.1608,157
2022-10-26 15:30:00,1.16043,1.16255,1.1601,1.16093,2294,1.1615,158
2022-10-26 15:45:00,1.16091,1.16161,1.15924,1.16131,2789,1.1602,159
2022-10-26 16:00:00,1.16137,1.16195,1.1602,1.16146,2605,1.1612,160
