t,Open,High,Low,Close,Volume,Volume_Weighted,Index
2022-09-28 00:00:00,1.37227,1.3726,1.3714,1.37173,2231,1.372,0
2022-09-28 00:15:00,1.37168,1.37238,1.3713,1.37219,1813,1.3718,1
2022-09-28 00:30:00,1.37213,1.3738,1.3719,1.37374,1942,1.3728,2
2022-09-28 00:45:00,1.37377,1.37429,1.3733,1.37391,2220,1.3739,3
2022-09-28 01:00:00,1.37392,1.37456,1.3732,1.37411,2541,1.374,4
2022-09-28 01:15:00,1.37423,1.37538,1.3739,1.37523,2855,1.3747,5
2022-09-28 01:30:00,1.37527,1.37567,1.3749,1.3756,3063,1.3754,6
2022-09-28 01:45:00,1.37561,1.37677,1.3753,1.37635,3036,1.3762,7
2022-09-28 02:00:00,1.37634,1.37757,1.3759,1.37748,2850,1.3769,8
2022-09-28 02:15:00,1.37746,1.37875,1.3772,1.37774,3006,1.378,9
2022-09-28 02:30:00,1.37773,1.37833,1.3771,1.37734,2671,1.3778,10
2022-09-28 02:45:00,1.37733,1.37796,1.3771,1.37777,2141,1.3776,11
2022-09-28 03:00:00,1.37775,1.37776,1.3762,1.37674,2323,1.3769,12
2022-09-28 03:15:00,1.37675,1.37707,1.3761,1.37646,2113,1.3766,13
2022-09-28 03:30:00,1.37646,1.37715,1.3763,1.3768,2009,1.3767,14
2022-09-28 03:45:00,1.37695,1.37717,1.3765,1.37695,1791,1.3769,15
2022-09-28 04:00:00,1.37696,1.37788,1.3767,1.3773,1734,1.3774,16
2022-09-28 04:15:00,1.37736,1.37761,1.3764,1.3765,1582,1.377,17
2022-09-28 04:30:00,1.37674,1.37693,1.3757,1.3768,1808,1.3765,18
2022-09-28 04:45:00,1.37685,1.37784,1.3765,1.37713,1822,1.3773,19
2022-09-28 05:00:00,1.37718,1.37849,1.3768,1.37843,1848,1.3777,20
2022-09-28 05:15:00,1.37834,1.37839,1.3773,1.3774,1823,1.378,21
2022-09-28 05:30:00,1.37754,1.37822,1.3767,1.3767,1798,1.3777,22
2022-09-28 05:45:00,1.37686,1.37745,1.3765,1.3769,2114,1.3771,23
2022-09-28 06:00:00,1.37709,1.37709,1.3756,1.37693,2935,1.3764,24
2022-09-28 06:15:00,1.37692,1.37801,1.3763,1.37724,2682,1.3773,25
2022-09-28 06:30:00,1.37724,1.37801,1.377,1.37778,2943,1.3775,26
2022-09-28 06:45:00,1.37777,1.38006,1.3775,1.37991,3148,1.3785,27
2022-09-28 07:00:00,1.3798,1.38007,1.3772,1.37977,3722,1.379,28
2022-09-28 07:15:00,1.37992,1.37997,1.378,1.37924,3723,1.3792,29
2022-09-28 07:30:00,1.37911,1.37959,1.3775,1.37817,3800,1.3788,30
2022-09-28 07:45:00,1.37818,1.37858,1.3757,1.37678,3691,1.3771,31
2022-09-28 08:00:00,1.37672,1.37814,1.3762,1.37745,3487,1.3771,32
2022-09-28 08:15:00,1.3774,1.37892,1.3767,1.37874,3406,1.3777,33
2022-09-28 08:30:00,1.37875,1.38001,1.3781,1.37931,3260,1.3791,34
2022-09-28 08:45:00,1.37935,1.37963,1.378,1.37921,2612,1.3791,35
2022-09-28 09:00:00,1.37919,1.38194,1.3789,1.38188,2647,1.3807,36
