t,Open,High,Low,Close,Volume,Volume_Weighted,Index
2022-10-26 00:00:00,0.99476,0.99524,0.994,0.9951,1903,0.9946,0
2022-10-26 00:15:00,0.99505,0.99556,0.9946,0.99533,1734,0.9951,1
2022-10-26 00:30:00,0.99534,0.9962,0.9949,0.99552,2077,0.9954,2
2022-10-26 00:45:00,0.99551,0.9963,0.9954,0.99582,2225,0.9959,3
2022-10-26 01:00:00,0.99583,0.99619,0.9952614,0.99568,1892,0.9958,4
2022-10-26 01:15:00,0.99558,0.99567,0.99494,0.99559,2237,0.9953,5
2022-10-26 01:30:00,0.99562,0.99566,0.995,0.99509,2066,0.9953,6
2022-10-26 01:45:00,0.99515,0.99574,0.9947948,0.99567,1958,0.9953,7
2022-10-26 02:00:00,0.99558,0.9958,0.9949,0.99517,2148,0.9954,8
2022-10-26 02:15:00,0.99525,0.99562,0.9949,0.99521,1865,0.9953,9
2022-10-26 02:30:00,0.99529,0.99541,0.9947773,0.995,1809,0.9951,10
2022-10-26 02:45:00,0.99501,0.99534,0.9947,0.99493,1453,0.995,11
2022-10-26 03:00:00,0.99493,0.9952,0.9946,0.9949,1768,0.9949,12
2022-10-26 03:15:00,0.99479,0.99495,0.9941,0.9944,1587,0.9946,13
2022-10-26 03:30:00,0.99464,0.9950044,0.9944,0.99463,1324,0.9947,14
2022-10-26 03:45:00,0.99462,0.99471,0.9941,0.9946,2083,0.9945,15
2022-10-26 04:00:00,0.99455,0.99489,0.9942,0.9948,1999,0.9947,16
2022-10-26 04:15:00,0.99479,0.99501,0.9943,0.9944,1972,0.9947,17
2022-10-26 04:30:00,0.99453,0.99466,0.994,0.99444,1800,0.9944,18
2022-10-26 04:45:00,0.99444,0.99476,0.9941,0.99464,1636,0.9945,19
2022-10-26 05:00:00,0.99468,0.99503,0.9941,0.99495,1805,0.9947,20
2022-10-26 05:15:00,0.99489,0.99505,0.9942,0.99436,2190,0.9947,21
2022-10-26 05:30:00,0.99432,0.99466,0.9935,0.9936,1967,0.9941,22
2022-10-26 05:45:00,0.99374,0.99469,0.9935,0.99426,2003,0.9942,23
2022-10-26 06:00:00,0.99423,0.9944,0.9925,0.99294,2526,0.9937,24
2022-10-26 06:15:00,0.99286,0.9933,0.9924,0.9931,2064,0.993,25
2022-10-26 06:30:00,0.99312,0.99324,0.9922,0.9923,2352,0.9929,26
2022-10-26 06:45:00,0.99245,0.99278,0.9919,0.99236,2623,0.9924,27
2022-10-26 07:00:00,0.99235,0.99299,0.9919,0.99255,3096,0.9925,28
2022-10-26 07:15:00,0.99256,0.9926,0.9901,0.99035,2771,0.9914,29
2022-10-26 07:30:00,0.99013,0.99113,0.98854,0.98871,2586,0.9903,30
2022-10-26 07:45:00,0.98874,0.98946,0.9878,0.98787,2667,0.9888,31
2022-10-26 08:00:00,0.98783,0.98852,0.9862,0.9878,2796,0.9876,32
2022-10-26 08:15:00,0.98806,0.98882,0.9874,0.98795,2631,0.9882,33
2022-10-26 08:30:00,0.98794,0.98804,0.9858,0.98661,2655,0.987,34
2022-10-26 08:45:00,0.98655,0.98706,0.9857,0.98621,2604,0.9865,35
2022-10-26 09:00:00,0.98638,0.98762,0.9853,0.98744,2406,0.9865,36
2022-10-26 09:15:00,0.98746,0.98901,0.9868,0.9887,2623,0.988,37
2022-10-26 09:30:00,0.98895,0.98932,0.98839,0.98924,2221,0.9888,38
2022-10-26 09:45:00,0.98915,0.98995,0.989,0.98963,2408,0.9895,39
2022-10-26 10:00:00,0.98961,0.99045,0.9892,0.99004,2530,0.9898,40
2022-10-26 10:15:00,0.99015,0.99118,0.9892838,0.98996,2253,0.9905,41
2022-10-26 10:30:00,0.99,0.99057,0.9892,0.98953,2212,0.9901,42
2022-10-26 10:45:00,0.98957,0.99015,0.9891,0.98946,2059,0.9897,43
2022-10-26 11:00:00,0.9895,0.9896,0.9882,0.98911,1988,0.9889,44
2022-10-26 11:15:00,0.98912,0.98944,0.9884,0.98889,2243,0.9889,45
2022-10-26 11:30:00,0.98898,0.98946,0.9885,0.98899,2159,0.9891,46
2022-10-26 11:45:00,0.98908,0.99002,0.9883,0.9894,2095,0.9893,47
2022-10-26 12:00:00,0.98966,0.99033,0.9891,0.9891,2205,0.9898,48
2022-10-26 12:15:00,0.98939,0.99128,0.9887,0.99121,2581,0.9902,49
2022-10-26 12:30:00,0.99123,0.99237,0.9905,0.99161,2688,0.9914,50
2022-10-26 12:45:00,0.9916,0.99285,0.9912,0.9916,2699,0.992,51
2022-10-26 13:00:00,0.99159,0.99186,0.9899,0.99071,2536,0.991,52
2022-10-26 13:15:00,0.99072,0.99131,0.9902,0.99097,2238,0.9908,53
2022-10-26 13:30:00,0.99095,0.99116,0.9886,0.98959,2554,0.9899,54
2022-10-26 13:45:00,0.98967,0.99019,0.98822,0.99013,2644,0.9892,55
2022-10-26 14:00:00,0.99015,0.99023,0.98765,0.98856,780,0.9884,56
2022-10-26 14:15:00,0.98819,0.98995,0.98818,0.98954,920,0.9894,57
2022-10-26 14:30:00,0.98928,0.99057,0.9889,0.98924,2499,0.9898,58
2022-10-26 14:45:00,0.98928,0.98939,0.987,0.98754,2242,0.9878,59
2022-10-26 15:00:00,0.98752,0.98834,0.9863,0.98656,2305,0.9873,60
2022-10-26 15:15:00,0.98657,0.98668,0.985,0.9858,2307,0.986,61
2022-10-26 15:30:00,0.98578,0.98627,0.9851,0.98627,1945,0.9857,62
2022-10-26 15:45:00,0.98628,0.987335,0.9861,0.9864,2239,0.9867,63
2022-10-26 16:00:00,0.98642,0.98716,0.986,0.98692,2199,0.9866,64
