t,Open,High,Low,Close,Volume,Volume_Weighted,Index
2022-10-26 00:00:00,147.969,148.03,147.879,148.021,2285,147.9483,0
2022-10-26 00:15:00,148.026,148.091,147.98,148.058,2208,148.0334,1
2022-10-26 00:30:00,148.053,148.19,148.032,148.162,2666,148.1052,2
2022-10-26 00:45:00,148.162,148.222,148.112,148.133,2497,148.1662,3
2022-10-26 01:00:00,148.13,148.208,148.115,148.161,2409,148.1659,4
2022-10-26 01:15:00,148.161,148.302,148.08,148.301,2731,148.1865,5
2022-10-26 01:30:00,148.305,148.325,148.24,148.252,2308,148.2822,6
2022-10-26 01:45:00,148.248,148.337,148.22,148.309,2174,148.2838,7
2022-10-26 02:00:00,148.31,148.398,148.301,148.333,1878,148.3456,8
2022-10-26 02:15:00,148.333,148.411,148.326,148.361,1695,148.3685,9
2022-10-26 02:30:00,148.361,148.381,148.327,148.344,1757,148.3545,10
2022-10-26 02:45:00,148.345,148.366,148.289,148.318,1692,148.3335,11
2022-10-26 03:00:00,148.319,148.331,148.273,148.284,1718,148.2978,12
2022-10-26 03:15:00,148.277,148.31,148.199,148.215,1681,148.262,13
2022-10-26 03:30:00,148.252,148.287,148.206,148.211,1392,148.2512,14
2022-10-26 03:45:00,148.21,148.238,148.167,148.237,1766,148.2017,15
2022-10-26 04:00:00,148.235,148.268,148.19,148.244,1686,148.2372,16
2022-10-26 04:15:00,148.24,148.256,148.169,148.175,2013,148.2265,17
2022-10-26 04:30:00,148.173,148.205,148.137,148.173,1843,148.1606,18
2022-10-26 04:45:00,148.168,148.266,148.164,148.254,1509,148.2078,19
2022-10-26 05:00:00,148.255,148.275,148.222,148.264,2301,148.2524,20
2022-10-26 05:15:00,148.266,148.269,148.099,148.104,2046,148.1773,21
2022-10-26 05:30:00,148.115,148.161,148.059,148.071,2658,148.1256,22
2022-10-26 05:45:00,148.072,148.161,148.067,148.132,2715,148.1252,23
2022-10-26 06:00:00,148.136,148.151,147.775,147.84,3145,148.0386,24
2022-10-26 06:15:00,147.842,147.943,147.8,147.925,2560,147.8791,25
2022-10-26 06:30:00,147.926,148.02,147.802,147.836,2651,147.9152,26
2022-10-26 06:45:00,147.837,147.893,147.748,147.782,3091,147.8192,27
2022-10-26 07:00:00,147.775,147.838,147.472,147.613,3083,147.6316,28
2022-10-26 07:15:00,147.604,147.625,147.374,147.398,2700,147.5741,29
2022-10-26 07:30:00,147.378,147.45,147.121,147.128,2642,147.3844,30
2022-10-26 07:45:00,147.127,147.271,147.051,147.15,2871,147.1706,31
2022-10-26 08:00:00,147.093,147.116,146.75,147.024,3118,146.9508,32
2022-10-26 08:15:00,147.033,147.198,147.001,147.12,2820,147.1225,33
2022-10-26 08:30:00,147.124,147.17,146.88,146.952,2835,147.0327,34
2022-10-26 08:45:00,146.951,147.069,146.91,146.995,2622,146.9896,35
2022-10-26 09:00:00,146.991,147.001,146.707,146.943,2712,146.8603,36
2022-10-26 09:15:00,146.948,147.117,146.93,147.072,2456,147.0216,37
2022-10-26 09:30:00,147.074,147.091,146.97,147.086,2645,147.0301,38
2022-10-26 09:45:00,147.091,147.24,147.076,147.142,2332,147.146,39
2022-10-26 10:00:00,147.144,147.273,147.126,147.26,2459,147.1848,40
2022-10-26 10:15:00,147.259,147.32,147.224,147.239,1974,147.2701,41
2022-10-26 10:30:00,147.237,147.24,147.05,147.078,2497,147.1456,42
2022-10-26 10:45:00,147.086,147.175,147.04,147.13,2296,147.1147,43
2022-10-26 11:00:00,147.129,147.132,146.954,146.976,1932,147.0247,44
2022-10-26 11:15:00,146.975,147.016,146.845,146.888,2250,146.9386,45
2022-10-26 11:30:00,146.885,147.052,146.74,147.015,2291,146.8859,46
2022-10-26 11:45:00,147.012,147.187,146.97,147.101,1967,147.0933,47
2022-10-26 12:00:00,147.092,147.13,146.957,146.98,2257,147.0609,48
2022-10-26 12:15:00,146.982,147.173,146.93,147.112,2459,147.0727,49
2022-10-26 12:30:00,147.113,147.273,147.071,147.18,2758,147.1781,50
2022-10-26 12:45:00,147.177,147.355,147.158,147.28,2600,147.232,51
2022-10-26 13:00:00,147.27,147.323,147.207,147.276,2547,147.263,52
2022-10-26 13:15:00,147.28,147.312,147.137,147.157,2459,147.2345,53
2022-10-26 13:30:00,147.159,147.19,146.903,147.047,2634,147.0582,54
2022-10-26 13:45:00,147.046,147.058,146.784,146.899,2688,146.9239,55
2022-10-26 14:00:00,146.9,146.9,146.529,146.657,817,146.6407,56
2022-10-26 14:15:00,146.516,146.702,146.492,146.615,989,146.6101,57
2022-10-26 14:30:00,146.588,146.792,146.577,146.755,2770,146.7115,58
2022-10-26 14:45:00,146.755,146.775,146.53,146.635,2430,146.6302,59
2022-10-26 15:00:00,146.635,146.644,146.435,146.481,2496,146.5672,60
2022-10-26 15:15:00,146.479,146.607,146.464,146.531,2482,146.5442,61
2022-10-26 15:30:00,146.54,146.56,146.385,146.501,2122,146.466,62
2022-10-26 15:45:00,146.5,146.621,146.487,146.505,2434,146.5758,63
2022-10-26 16:00:00,146.502,146.617,146.388,146.464,2207,146.4916,64
2022-10-26 16:15:00,146.456,146.491,146.29,146.324,2025,146.3696,65
2022-10-26 16:30:00,146.325,146.389,146.227,146.335,2017,146.3163,66
2022-10-26 16:45:00,146.338,146.454,146.323,146.425,2211,146.4145,67
2022-10-26 17:00:00,146.428,146.497,146.355,146.372,2547,146.4168,68
2022-10-26 17:15:00,146.373,146.432,146.29,146.412,2360,146.3545,69
2022-10-26 17:30:00,146.412,146.446,146.347,146.352,2500,146.4136,70
2022-10-26 17:45:00,146.356,146.4,146.289,146.356,2056,146.3522,71
2022-10-26 18:00:00,146.354,146.39,146.268,146.294,1613,146.323,72
2022-10-26 18:15:00,146.294,146.353,146.28,146.316,1894,146.3172,73
2022-10-26 18:30:00,146.317,146.342,146.25,146.28,1861,146.2864,74
2022-10-26 18:45:00,146.28,146.3,146.2,146.263,1817,146.2691,75
2022-10-26 19:00:00,146.262,146.345,146.24,146.332,2186,146.2951,76
2022-10-26 19:15:00,146.334,146.393,146.287,146.385,1660,146.3285,77
2022-10-26 19:30:00,146.386,146.4,146.279,146.343,1633,146.3222,78
2022-10-26 19:45:00,146.343,146.371,146.3,146.337,1743,146.335,79
2022-10-26 20:00:00,146.334,146.372,146.31,146.364,1481,146.3509,80
2022-10-26 20:15:00,146.365,146.39,146.355,146.381,1284,146.3743,81
2022-10-26 20:30:00,146.39,146.392,146.335,146.344,975,146.3719,82
2022-10-26 20:45:00,146.333,146.41,146.166,146.166,1295,146.3605,83
2022-10-26 21:00:00,146.166,146.383,146.166,146.352,175,146.3546,84
2022-10-26 21:15:00,146.329,146.381,146.282,146.335,490,146.3513,85
2022-10-26 21:30:00,146.334,146.386,146.259,146.371,438,146.3578,86
