t,v,vw,o,c,h,l
2022-07-01 00:00:00,3072,1.2156,1.21597,1.21529,1.2161,1.21517
2022-07-01 00:15:00,2676,1.2156,1.21531,1.2156,1.21597,1.21519
2022-07-01 00:30:00,2421,1.2152,1.21566,1.21517,1.21581,1.2148
2022-07-01 00:45:00,2398,1.2155,1.21508,1.2152,1.216,1.21507
2022-07-01 01:00:00,2315,1.2153,1.21536,1.21528,1.2157,1.2149
2022-07-01 01:15:00,2047,1.2154,1.2154,1.21501,1.2157,1.21486
2022-07-01 01:30:00,2131,1.2149,1.21492,1.2147,1.2153,1.21433
2022-07-01 01:45:00,2364,1.215,1.21471,1.2148,1.2154,1.21455
2022-07-01 02:00:00,2071,1.2149,1.21475,1.2149,1.21539,1.2144
2022-07-01 02:15:00,1861,1.2149,1.21491,1.21477,1.2152,1.2144
2022-07-01 02:30:00,2430,1.2143,1.21478,1.21418,1.21482,1.2139
2022-07-01 02:45:00,2179,1.2142,1.21425,1.21435,1.21459,1.2138
2022-07-01 03:00:00,2249,1.2139,1.21424,1.21332,1.21442,1.213
2022-07-01 03:15:00,2532,1.2135,1.2132,1.21311,1.2142,1.21278
2022-07-01 03:30:00,2335,1.2128,1.21311,1.21248,1.2133,1.2124
2022-07-01 03:45:00,2223,1.2121,1.21258,1.21232,1.2126,1.21156
2022-07-01 04:00:00,2297,1.2121,1.2121,1.21144,1.21252,1.2114
2022-07-01 04:15:00,2441,1.2114,1.21143,1.21129,1.21183,1.2111
2022-07-01 04:30:00,1963,1.2116,1.21118,1.21186,1.212,1.211
2022-07-01 04:45:00,1991,1.2122,1.21187,1.21179,1.2126,1.21162
2022-07-01 05:00:00,2088,1.212,1.21185,1.21221,1.2124,1.2116
2022-07-01 05:15:00,1860,1.2122,1.21229,1.21279,1.21279,1.21179
2022-07-01 05:30:00,1947,1.2128,1.2128,1.2128,1.21306,1.2125
2022-07-01 05:45:00,2351,1.2131,1.21295,1.21294,1.21363,1.2128
2022-07-01 06:00:00,3156,1.2134,1.21295,1.21335,1.21383,1.2126
2022-07-01 06:15:00,2436,1.2129,1.21333,1.21264,1.21366,1.2122
2022-07-01 06:30:00,2412,1.2125,1.21273,1.21275,1.21291,1.2118
2022-07-01 06:45:00,2638,1.2124,1.21276,1.21229,1.2132,1.2117
2022-07-01 07:00:00,3708,1.2117,1.2121,1.21075,1.21263,1.2105
2022-07-01 07:15:00,3355,1.21,1.21069,1.21053,1.21092,1.2092
2022-07-01 07:30:00,3213,1.2107,1.2104,1.21085,1.21128,1.2099
2022-07-01 07:45:00,2851,1.211,1.21096,1.21098,1.21165,1.2105
2022-07-01 08:00:00,3129,1.2101,1.21098,1.21092,1.21141,1.2092
2022-07-01 08:15:00,2766,1.2111,1.21088,1.21179,1.2121,1.2102
2022-07-01 08:30:00,3037,1.2114,1.21145,1.211,1.21192,1.2107
2022-07-01 08:45:00,2621,1.2104,1.21107,1.21013,1.2112,1.2098
2022-07-01 09:00:00,3328,1.2105,1.21003,1.2091,1.21173,1.2084
2022-07-01 09:15:00,2699,1.2084,1.20911,1.20768,1.2098,1.2075
2022-07-01 09:30:00,2349,1.2083,1.20767,1.20834,1.20902,1.2075
2022-07-01 09:45:00,2601,1.2075,1.20834,1.20675,1.2085,1.2062
2022-07-01 10:00:00,2864,1.2068,1.20674,1.2067,1.20765,1.2059
2022-07-01 10:15:00,2211,1.2073,1.2067,1.2075,1.20778,1.206
2022-07-01 10:30:00,2690,1.2077,1.2076,1.20715,1.20874,1.2068
2022-07-01 10:45:00,2942,1.2064,1.20718,1.2052,1.20744,1.205
2022-07-01 11:00:00,3258,1.2058,1.20556,1.20596,1.20659,1.2047
2022-07-01 11:15:00,3167,1.2054,1.20596,1.2044,1.20627,1.2044
2022-07-01 11:30:00,3036,1.204,1.20453,1.20331,1.2049,1.203
2022-07-01 11:45:00,3013,1.2036,1.20334,1.204,1.20412,1.2031
2022-07-01 12:00:00,2683,1.2039,1.20405,1.20304,1.20454,1.2029
2022-07-01 12:15:00,3155,1.2024,1.20303,1.20115,1.2035,1.2009
2022-07-01 12:30:00,2898,1.2014,1.20112,1.2014,1.2024,1.2008
2022-07-01 12:45:00,2916,1.2011,1.20141,1.20073,1.20173,1.2003
2022-07-01 13:00:00,3256,1.2009,1.20069,1.20039,1.20142,1.2003
2022-07-01 13:15:00,3137,1.2004,1.20033,1.20045,1.2013,1.1994
2022-07-01 13:30:00,3761,1.2005,1.20042,1.20016,1.2012,1.1996
2022-07-01 13:45:00,3827,1.2008,1.20011,1.20074,1.20144,1.1997
2022-07-01 14:00:00,5058,1.1994,1.20073,1.19827,1.20197,1.19755
2022-07-01 14:15:00,4489,1.1993,1.1982,1.19841,1.20086,1.1977
2022-07-01 14:30:00,4231,1.1993,1.19855,1.1995,1.20037,1.198
2022-07-01 14:45:00,4557,1.2002,1.19949,1.20024,1.20093,1.1986
2022-07-01 15:00:00,3902,1.2005,1.20021,1.20084,1.20126,1.1995
2022-07-01 15:15:00,3276,1.202,1.20083,1.2029,1.20292,1.2005
2022-07-01 15:30:00,3280,1.2042,1.20286,1.2054,1.20563,1.202
2022-07-01 15:45:00,3347,1.2053,1.20539,1.20466,1.2059,1.2039
2022-07-01 16:00:00,2985,1.205,1.20467,1.2051,1.20587,1.2043
2022-07-01 16:15:00,2517,1.2057,1.20518,1.20492,1.20632,1.2048
2022-07-01 16:30:00,2280,1.2051,1.20503,1.20522,1.2056,1.2045
2022-07-01 16:45:00,2624,1.205,1.20523,1.20457,1.2056,1.2042
2022-07-01 17:00:00,2001,1.2043,1.20455,1.2043,1.2049,1.2038
2022-07-01 17:15:00,2257,1.2042,1.20424,1.20421,1.2047,1.2035
2022-07-01 17:30:00,2108,1.2049,1.20425,1.20546,1.20557,1.2041
2022-07-01 17:45:00,1911,1.206,1.20545,1.20629,1.20659,1.205
2022-07-01 18:00:00,1982,1.2067,1.20629,1.20676,1.20702,1.2057
2022-07-01 18:15:00,1784,1.2077,1.20677,1.20823,1.2085,1.2065
2022-07-01 18:30:00,1461,1.209,1.20819,1.2102,1.21024,1.2078
2022-07-01 18:45:00,1920,1.2099,1.21016,1.20957,1.21064,1.2089
2022-07-01 19:00:00,1941,1.2096,1.20952,1.20993,1.2101,1.209
2022-07-01 19:15:00,1717,1.2095,1.2099,1.20907,1.21,1.2089
2022-07-01 19:30:00,1418,1.2096,1.20909,1.20985,1.21018,1.2088
2022-07-01 19:45:00,1745,1.2094,1.20982,1.20962,1.20993,1.2089
2022-07-01 20:00:00,1133,1.2097,1.20958,1.2098,1.20988,1.2093
2022-07-01 20:15:00,630,1.2098,1.20973,1.20977,1.21,1.2095
2022-07-01 20:30:00,470,1.2098,1.2098,1.2095,1.2101,1.2093
2022-07-01 20:45:00,642,1.2095,1.20943,1.2094,1.2103,1.2086
2022-07-01 21:00:00,2,1.2093,1.2093,1.20933,1.20933,1.2093
2022-07-03 19:00:00,1,1.2078,1.20784,1.20784,1.20784,1.20784
2022-07-03 19:30:00,1,1.2076,1.20764,1.20764,1.20764,1.20764
2022-07-03 20:00:00,1,1.2078,1.20779,1.20779,1.20779,1.20779
2022-07-03 20:15:00,1,1.2097,1.20967,1.20967,1.20967,1.20967
2022-07-03 20:45:00,1,1.2098,1.20977,1.20977,1.20977,1.20977
2022-07-03 21:00:00,1,1.2098,1.20977,1.20977,1.20977,1.20977
2022-07-03 21:15:00,10,1.2098,1.20984,1.20984,1.20985,1.20982
2022-07-03 21:30:00,98,1.2098,1.20982,1.20969,1.20995,1.20965
2022-07-03 21:45:00,63,1.2098,1.2097,1.20983,1.21,1.2097
2022-07-03 22:00:00,622,1.2112,1.2097,1.21134,1.21214,1.20965
2022-07-03 22:15:00,855,1.2113,1.2113,1.21148,1.21162,1.21104
2022-07-03 22:30:00,569,1.2109,1.21147,1.21072,1.21166,1.21036
2022-07-03 22:45:00,343,1.2107,1.21071,1.21099,1.21122,1.2102
2022-07-03 23:00:00,919,1.2107,1.21098,1.21072,1.21098,1.2104
2022-07-03 23:15:00,1405,1.2107,1.21075,1.21086,1.21092,1.2104
2022-07-03 23:30:00,1812,1.2105,1.21089,1.21005,1.21091,1.2098
2022-07-03 23:45:00,1891,1.2102,1.21005,1.20995,1.2106,1.2098
2022-07-04 00:00:00,2479,1.2105,1.2099,1.2107,1.21092,1.2097
2022-07-04 00:15:00,2580,1.211,1.21087,1.21116,1.2114,1.2106
2022-07-04 00:30:00,2481,1.2106,1.21116,1.21037,1.2114,1.2101
2022-07-04 00:45:00,2416,1.2105,1.21038,1.21049,1.21133,1.20999
2022-07-04 01:00:00,2142,1.2101,1.2106,1.20966,1.21071,1.2095
2022-07-04 01:15:00,2109,1.2094,1.20967,1.20955,1.20993,1.20899
2022-07-04 01:30:00,2393,1.2095,1.20976,1.20979,1.20993,1.209
2022-07-04 01:45:00,2223,1.2098,1.2098,1.20968,1.21039,1.2093
2022-07-04 02:00:00,2580,1.2098,1.20973,1.20985,1.21015,1.2094
2022-07-04 02:15:00,2129,1.2093,1.20975,1.20913,1.20994,1.20876
2022-07-04 02:30:00,2249,1.2091,1.20902,1.20894,1.20951,1.2088
2022-07-04 02:45:00,2413,1.2092,1.209,1.20916,1.20951,1.2087
2022-07-04 03:00:00,2331,1.2096,1.20919,1.21017,1.21019,1.209
2022-07-04 03:15:00,1994,1.2102,1.21015,1.2106,1.2109,1.2099
2022-07-04 03:30:00,1845,1.2098,1.21049,1.20944,1.2106,1.2091
2022-07-04 03:45:00,1865,1.209,1.20932,1.20865,1.20954,1.2083
2022-07-04 04:00:00,1558,1.2088,1.20866,1.20896,1.20905,1.2085
2022-07-04 04:15:00,1351,1.2091,1.20888,1.20917,1.20931,1.2088
2022-07-04 04:30:00,1339,1.209,1.20926,1.20918,1.2094,1.2086
2022-07-04 04:45:00,1246,1.2093,1.20918,1.2093,1.2096,1.209
2022-07-04 05:00:00,1904,1.2095,1.20928,1.2097,1.20981,1.2089
2022-07-04 05:15:00,1621,1.2097,1.20983,1.20977,1.2101,1.2092
2022-07-04 05:30:00,2046,1.2103,1.20968,1.21034,1.21077,1.2096
2022-07-04 05:45:00,1901,1.21,1.21033,1.21005,1.21052,1.2096
2022-07-04 06:00:00,2618,1.2102,1.20999,1.20998,1.21081,1.2097
2022-07-04 06:15:00,2051,1.2103,1.20997,1.21065,1.2109,1.2096
2022-07-04 06:30:00,2150,1.2106,1.21088,1.21086,1.21107,1.2096
2022-07-04 06:45:00,2363,1.2103,1.21087,1.2103,1.21093,1.2091
2022-07-04 07:00:00,3267,1.2113,1.21034,1.21161,1.21194,1.2103
2022-07-04 07:15:00,3043,1.2118,1.21163,1.2124,1.21264,1.2109
2022-07-04 07:30:00,2663,1.2121,1.2124,1.21156,1.21254,1.2114
2022-07-04 07:45:00,2573,1.2117,1.21155,1.21242,1.21242,1.2109
2022-07-04 08:00:00,2699,1.2114,1.2123,1.21116,1.21248,1.2107
2022-07-04 08:15:00,2537,1.2109,1.21118,1.21114,1.21149,1.2103
2022-07-04 08:30:00,2198,1.2111,1.21109,1.21116,1.21161,1.2105
2022-07-04 08:45:00,2163,1.2119,1.21115,1.21214,1.21225,1.211
2022-07-04 09:00:00,2385,1.2119,1.21218,1.21139,1.21232,1.2111
2022-07-04 09:15:00,1682,1.2112,1.21131,1.21122,1.2116,1.2107
2022-07-04 09:30:00,2967,1.2127,1.21131,1.21251,1.2137,1.2107
2022-07-04 09:45:00,2491,1.2123,1.2126,1.21201,1.21276,1.2118
2022-07-04 10:00:00,2144,1.2126,1.212,1.21275,1.21298,1.2119
2022-07-04 10:15:00,2055,1.2128,1.2128,1.21255,1.2135,1.2122
