t,v,vw,o,c,h,l
2022-07-01 00:00:00,1939,0.6242,0.62372,0.62398,0.62464,0.6237
2022-07-01 00:15:00,1980,0.6241,0.624,0.6241,0.62438,0.6235
2022-07-01 00:30:00,1909,0.6238,0.62409,0.6237,0.62415,0.6233
2022-07-01 00:45:00,2080,0.6236,0.62369,0.62311,0.6241,0.6228
2022-07-01 01:00:00,2392,0.623,0.6231,0.62295,0.62329,0.6224
2022-07-01 01:15:00,2252,0.623,0.62298,0.62268,0.62314,0.6224
2022-07-01 01:30:00,2259,0.6227,0.62271,0.6226,0.62308,0.6222
2022-07-01 01:45:00,2798,0.6231,0.62294,0.62303,0.62344,0.6226
2022-07-01 02:00:00,2235,0.623,0.62302,0.62294,0.62327,0.6225
2022-07-01 02:15:00,1967,0.6227,0.62294,0.62264,0.62297,0.6222
2022-07-01 02:30:00,2181,0.622,0.62262,0.62192,0.62269,0.6215
2022-07-01 02:45:00,2103,0.6217,0.62189,0.62174,0.62203,0.6211
2022-07-01 03:00:00,2100,0.6212,0.62179,0.62068,0.62184,0.6201
2022-07-01 03:15:00,2502,0.6205,0.62069,0.61983,0.62108,0.6194
2022-07-01 03:30:00,2346,0.6196,0.61983,0.61945,0.62,0.6192
2022-07-01 03:45:00,2438,0.6184,0.61948,0.61836,0.61949,0.6177
2022-07-01 04:00:00,2639,0.6182,0.61829,0.61762,0.619,0.6174
2022-07-01 04:15:00,2687,0.6176,0.61766,0.61716,0.6185,0.6168
2022-07-01 04:30:00,2067,0.6175,0.61717,0.61768,0.6184,0.6168
2022-07-01 04:45:00,2016,0.6177,0.61766,0.61747,0.6186,0.6172
2022-07-01 05:00:00,2244,0.6175,0.61743,0.61768,0.6183,0.617
2022-07-01 05:15:00,2261,0.6176,0.61769,0.61799,0.6187,0.6169
2022-07-01 05:30:00,2220,0.6179,0.61796,0.6182,0.6187,0.6175
2022-07-01 05:45:00,2051,0.6186,0.61819,0.61855,0.6193,0.6179
2022-07-01 06:00:00,3289,0.6188,0.61852,0.61897,0.6194,0.6181
2022-07-01 06:15:00,1991,0.619,0.61899,0.61919,0.6195,0.6186
2022-07-01 06:30:00,2147,0.619,0.61919,0.6192,0.6197,0.6184
2022-07-01 06:45:00,2249,0.6186,0.61902,0.6187,0.6196,0.6179
2022-07-01 07:00:00,2597,0.6185,0.61872,0.61781,0.6194,0.6175
2022-07-01 07:15:00,2932,0.6179,0.61777,0.61833,0.619,0.6172
2022-07-01 07:30:00,2713,0.618,0.61829,0.6179,0.6189,0.6172
2022-07-01 07:45:00,2375,0.6176,0.61791,0.61706,0.6185,0.6167
2022-07-01 08:00:00,2058,0.6167,0.6171,0.61717,0.61733,0.6162
2022-07-01 08:15:00,2138,0.6175,0.61716,0.6177,0.6184,0.6165
2022-07-01 08:30:00,2126,0.6179,0.61766,0.61776,0.6186,0.6174
2022-07-01 08:45:00,1754,0.6177,0.61776,0.61778,0.6185,0.6173
2022-07-01 09:00:00,2327,0.6179,0.61777,0.61798,0.6188,0.6173
2022-07-01 09:15:00,2183,0.6178,0.61797,0.61743,0.6188,0.6172
2022-07-01 09:30:00,2035,0.6178,0.61742,0.61787,0.6188,0.6171
2022-07-01 09:45:00,2170,0.6177,0.61793,0.61744,0.6184,0.6171
2022-07-01 10:00:00,2121,0.6171,0.61743,0.61689,0.6181,0.6166
2022-07-01 10:15:00,2018,0.6172,0.61688,0.61697,0.61744,0.6166
2022-07-01 10:30:00,2262,0.6169,0.61698,0.6166,0.6176,0.6163
2022-07-01 10:45:00,1865,0.6166,0.61659,0.61644,0.6172,0.6161
2022-07-01 11:00:00,2557,0.6168,0.61643,0.61703,0.61742,0.6159
2022-07-01 11:15:00,2438,0.6168,0.61704,0.61677,0.6175,0.6163
2022-07-01 11:30:00,2243,0.6167,0.61678,0.61663,0.6173,0.6162
2022-07-01 11:45:00,2614,0.6163,0.61668,0.61616,0.6172,0.6154
2022-07-01 12:00:00,2477,0.6161,0.61619,0.61578,0.6166,0.6154
2022-07-01 12:15:00,2579,0.6157,0.61577,0.61549,0.6166,0.6153
2022-07-01 12:30:00,2732,0.6155,0.61552,0.61565,0.6162,0.6151
2022-07-01 12:45:00,2774,0.6155,0.6156,0.6153,0.6162,0.6149
2022-07-01 13:00:00,2669,0.6153,0.61529,0.61506,0.6161,0.6147
2022-07-01 13:15:00,2712,0.6155,0.61501,0.61587,0.6165,0.6145
