t,v,vw,o,c,h,l
2022-07-01 00:00:00,1772,1.2871,1.28723,1.28731,1.2874,1.2865
2022-07-01 00:15:00,1621,1.2869,1.28732,1.2867,1.28738,1.2864
2022-07-01 00:30:00,1870,1.2873,1.28693,1.28745,1.28763,1.2866
2022-07-01 00:45:00,1735,1.2872,1.28746,1.28777,1.28784,1.2867
2022-07-01 01:00:00,1951,1.2878,1.2876,1.2878,1.2881,1.2873
2022-07-01 01:15:00,1607,1.2877,1.28781,1.288,1.28823,1.2874
2022-07-01 01:30:00,2038,1.2883,1.28822,1.28826,1.28861,1.2879
2022-07-01 01:45:00,1869,1.2881,1.28826,1.28819,1.28833,1.2877
2022-07-01 02:00:00,2033,1.2877,1.28819,1.2878,1.28837,1.2872
2022-07-01 02:15:00,1760,1.2881,1.2878,1.28833,1.28847,1.2874
2022-07-01 02:30:00,2134,1.2887,1.28834,1.2887,1.28896,1.288
2022-07-01 02:45:00,1621,1.289,1.28877,1.28918,1.28937,1.2884
2022-07-01 03:00:00,1581,1.2896,1.28918,1.29016,1.29033,1.2889
2022-07-01 03:15:00,1993,1.29,1.29015,1.29041,1.29061,1.2894
2022-07-01 03:30:00,1713,1.2905,1.2904,1.29077,1.29081,1.2901
2022-07-01 03:45:00,1882,1.2911,1.29077,1.29102,1.29158,1.2904
2022-07-01 04:00:00,1582,1.2912,1.29105,1.29157,1.29163,1.2906
2022-07-01 04:15:00,1934,1.2918,1.29158,1.29225,1.29229,1.2912
2022-07-01 04:30:00,1900,1.2919,1.29224,1.29197,1.29235,1.2915
2022-07-01 04:45:00,1553,1.292,1.29198,1.29228,1.29237,1.2915
2022-07-01 05:00:00,1926,1.2925,1.29227,1.2921,1.29285,1.292
2022-07-01 05:15:00,1471,1.2925,1.29245,1.29211,1.29283,1.2919
2022-07-01 05:30:00,1842,1.2924,1.29211,1.29234,1.29286,1.2918
2022-07-01 05:45:00,2072,1.292,1.29225,1.29193,1.29242,1.2915
2022-07-01 06:00:00,2745,1.2918,1.29195,1.29175,1.29208,1.2914
2022-07-01 06:15:00,1897,1.292,1.29178,1.29185,1.29226,1.2915
2022-07-01 06:30:00,1890,1.2921,1.29184,1.2919,1.29241,1.2916
2022-07-01 06:45:00,1846,1.292,1.29186,1.29232,1.29254,1.2913
2022-07-01 07:00:00,2827,1.2922,1.2923,1.29246,1.29277,1.2916
