t,v,vw,o,c,h,l
2022-07-01 00:00:00,1958,0.9552,0.95499,0.95558,0.95559,0.9548
2022-07-01 00:15:00,1385,0.9553,0.95556,0.95535,0.95558,0.955
2022-07-01 00:30:00,1240,0.9555,0.95533,0.95567,0.95572,0.9551
2022-07-01 00:45:00,1629,0.9554,0.95565,0.95551,0.95568,0.9549
2022-07-01 01:00:00,1673,0.9554,0.95549,0.95546,0.95559,0.9549
2022-07-01 01:15:00,1237,0.9554,0.95551,0.9552,0.9556,0.955
2022-07-01 01:30:00,1724,0.9553,0.9554,0.95523,0.95558,0.9549
2022-07-01 01:45:00,1654,0.9551,0.95522,0.95502,0.95531,0.9548
2022-07-01 02:00:00,1390,0.955,0.95506,0.95523,0.95523,0.9547
2022-07-01 02:15:00,1532,0.9551,0.95523,0.95527,0.95533,0.9546
2022-07-01 02:30:00,2295,0.9554,0.95528,0.95514,0.95566,0.9549
2022-07-01 02:45:00,1803,0.9552,0.95513,0.95532,0.9555,0.9548
2022-07-01 03:00:00,1513,0.9554,0.9553,0.95539,0.95566,0.9551
2022-07-01 03:15:00,2177,0.9552,0.95539,0.95527,0.95547,0.9547
2022-07-01 03:30:00,1839,0.9555,0.95526,0.95569,0.95581,0.955
2022-07-01 03:45:00,2223,0.9562,0.95567,0.95627,0.95682,0.9554
2022-07-01 04:00:00,2091,0.9563,0.95628,0.9565,0.95667,0.9559
2022-07-01 04:15:00,2124,0.9568,0.95664,0.95723,0.95735,0.9562
2022-07-01 04:30:00,1948,0.9569,0.95723,0.95668,0.95731,0.9564
2022-07-01 04:45:00,2457,0.9564,0.95664,0.95666,0.95683,0.955966
2022-07-01 05:00:00,1979,0.9563,0.95671,0.95596,0.95672,0.9556
2022-07-01 05:15:00,1849,0.956,0.95596,0.95577,0.95633,0.9556
2022-07-01 05:30:00,1873,0.9559,0.95577,0.95561,0.95625,0.9554
2022-07-01 05:45:00,2425,0.9557,0.9556,0.95558,0.956,0.9553
2022-07-01 06:00:00,2623,0.9551,0.95564,0.95564,0.95569,0.9545
2022-07-01 06:15:00,1930,0.9557,0.95563,0.95599,0.95621,0.9553
2022-07-01 06:30:00,2315,0.9561,0.956,0.95626,0.95662,0.9556
2022-07-01 06:45:00,2504,0.9561,0.95625,0.9553,0.95652,0.9552
2022-07-01 07:00:00,3700,0.9557,0.9551,0.95743,0.95754,0.9545
2022-07-01 07:15:00,3220,0.9574,0.95745,0.95699,0.95851,0.9566
2022-07-01 07:30:00,2911,0.9571,0.95698,0.95776,0.9582,0.9563
2022-07-01 07:45:00,2703,0.9579,0.95775,0.95831,0.95857,0.9571
2022-07-01 08:00:00,2774,0.959,0.95826,0.95854,0.95969,0.958
2022-07-01 08:15:00,2666,0.958,0.95856,0.9578,0.9592,0.9572
2022-07-01 08:30:00,2822,0.9577,0.9578,0.95782,0.9582,0.9572
2022-07-01 08:45:00,2469,0.958,0.95782,0.95807,0.95825,0.9574
2022-07-01 09:00:00,3189,0.9576,0.95808,0.95812,0.95822,0.95689
