t,v,vw,o,c,h,l
2022-07-01 00:00:00,2709,135.8188,135.796,135.903,135.911,135.76
2022-07-01 00:15:00,2030,135.8432,135.884,135.785,135.894,135.76
2022-07-01 00:30:00,2614,135.9104,135.788,135.94,135.955,135.786
2022-07-01 00:45:00,2771,135.9491,135.952,135.957,135.984,135.891
2022-07-01 01:00:00,2826,135.8736,135.953,135.874,135.958,135.791
2022-07-01 01:15:00,2287,135.8539,135.874,135.824,135.895,135.79
2022-07-01 01:30:00,2928,135.7807,135.822,135.764,135.831,135.726
2022-07-01 01:45:00,2505,135.7518,135.765,135.712,135.809,135.666
2022-07-01 02:00:00,2562,135.6596,135.713,135.695,135.713,135.619
2022-07-01 02:15:00,2722,135.5394,135.696,135.432,135.696,135.39
2022-07-01 02:30:00,3538,135.3388,135.431,135.303,135.443,135.254
2022-07-01 02:45:00,3122,135.2912,135.302,135.313,135.327,135.201
2022-07-01 03:00:00,3347,135.283,135.309,135.233,135.374,135.2
2022-07-01 03:15:00,3915,135.1744,135.23,135.119,135.294,135.08
2022-07-01 03:30:00,3397,135.1489,135.113,135.123,135.204,135.094
2022-07-01 03:45:00,3749,135.0734,135.163,135.122,135.163,134.981
2022-07-01 04:00:00,3685,135.1494,135.121,135.105,135.244,135.086
2022-07-01 04:15:00,3528,135.0644,135.1,135.102,135.135,134.98
2022-07-01 04:30:00,2972,135.132,135.102,135.138,135.177,135.07
2022-07-01 04:45:00,3067,135.1056,135.138,135.086,135.158,135.057
2022-07-01 05:00:00,3765,134.905,135.087,134.866,135.09,134.813
2022-07-01 05:15:00,3116,134.8822,134.871,134.886,134.948,134.788
2022-07-01 05:30:00,2779,134.9356,134.888,134.934,134.984,134.885
2022-07-01 05:45:00,3286,134.9747,134.938,134.98,135.06,134.903
2022-07-01 06:00:00,4100,134.8478,134.982,134.908,134.988,134.74
2022-07-01 06:15:00,3403,134.93,134.91,135.006,135.011,134.861
2022-07-01 06:30:00,3456,134.988,135.012,135.048,135.094,134.91
2022-07-01 06:45:00,3883,134.9783,135.042,134.924,135.071,134.911
2022-07-01 07:00:00,3329,134.9194,134.909,135.002,135.05,134.84
2022-07-01 07:15:00,3305,135.035,135.03,135.038,135.1,134.941
2022-07-01 07:30:00,2878,135.1234,135.035,135.148,135.18,135.02
2022-07-01 07:45:00,2810,135.2612,135.152,135.306,135.352,135.138
2022-07-01 08:00:00,2497,135.3335,135.296,135.354,135.408,135.245
2022-07-01 08:15:00,2763,135.3898,135.354,135.469,135.483,135.31
2022-07-01 08:30:00,2867,135.5168,135.479,135.539,135.678,135.43
2022-07-01 08:45:00,2675,135.5545,135.573,135.507,135.628,135.487
2022-07-01 09:00:00,3247,135.5279,135.511,135.528,135.579,135.471
2022-07-01 09:15:00,2155,135.4534,135.502,135.49,135.524,135.381
2022-07-01 09:30:00,2071,135.5346,135.504,135.536,135.588,135.469
2022-07-01 09:45:00,2311,135.5891,135.541,135.647,135.666,135.51
2022-07-01 10:00:00,2252,135.5316,135.646,135.546,135.659,135.442
2022-07-01 10:15:00,2166,135.4986,135.542,135.468,135.555,135.438
2022-07-01 10:30:00,2268,135.4239,135.473,135.38,135.537,135.32
2022-07-01 10:45:00,1992,135.3326,135.373,135.352,135.423,135.27
2022-07-01 11:00:00,2970,135.2569,135.353,135.174,135.382,135.119
2022-07-01 11:15:00,2824,135.1155,135.168,135.168,135.238,135.02
2022-07-01 11:30:00,2950,135.2307,135.171,135.271,135.282,135.152
2022-07-01 11:45:00,2625,135.3007,135.267,135.281,135.356,135.223
2022-07-01 12:00:00,2589,135.2562,135.285,135.305,135.324,135.194
2022-07-01 12:15:00,3731,135.1653,135.297,135.198,135.306,135.07
2022-07-01 12:30:00,3009,135.2956,135.195,135.274,135.387,135.168
2022-07-01 12:45:00,3135,135.2463,135.275,135.272,135.327,135.18
2022-07-01 13:00:00,3278,135.2665,135.274,135.291,135.319,135.19
2022-07-01 13:15:00,3069,135.4341,135.304,135.504,135.551,135.276
2022-07-01 13:30:00,3536,135.4297,135.505,135.364,135.545,135.319
2022-07-01 13:45:00,3400,135.3857,135.365,135.437,135.45,135.275
2022-07-01 14:00:00,5193,135.1502,135.313,134.949,135.427,134.934
2022-07-01 14:15:00,4501,134.9467,134.948,134.9,135.102,134.84
2022-07-01 14:30:00,4300,134.9469,134.897,135.034,135.097,134.787
2022-07-01 14:45:00,4278,135.0633,135.03,135.121,135.182,134.898
2022-07-01 15:00:00,4047,135.2055,135.123,135.226,135.327,135.045
2022-07-01 15:15:00,3009,135.2425,135.222,135.212,135.323,135.121
2022-07-01 15:30:00,2639,135.1487,135.213,135.153,135.257,135.06
2022-07-01 15:45:00,2589,135.0906,135.121,135.115,135.213,134.994
2022-07-01 16:00:00,2274,135.1465,135.082,135.218,135.238,135.05
2022-07-01 16:15:00,2502,135.2864,135.219,135.263,135.367,135.16
2022-07-01 16:30:00,2208,135.2728,135.369,135.217,135.38,135.176
2022-07-01 16:45:00,2116,135.2372,135.218,135.279,135.304,135.18
2022-07-01 17:00:00,1850,135.2888,135.278,135.319,135.33,135.229
2022-07-01 17:15:00,1567,135.3554,135.318,135.364,135.397,135.29
2022-07-01 17:30:00,1513,135.3371,135.317,135.328,135.364,135.306
2022-07-01 17:45:00,1512,135.3269,135.329,135.292,135.367,135.282
2022-07-01 18:00:00,1294,135.2841,135.292,135.288,135.322,135.23
2022-07-01 18:15:00,1320,135.3396,135.283,135.354,135.396,135.268
2022-07-01 18:30:00,965,135.2989,135.363,135.283,135.364,135.23
2022-07-01 18:45:00,1346,135.2445,135.242,135.263,135.301,135.19
2022-07-01 19:00:00,1217,135.2427,135.266,135.206,135.269,135.203
2022-07-01 19:15:00,935,135.21,135.212,135.197,135.232,135.183
2022-07-01 19:30:00,863,135.2113,135.2,135.281,135.282,135.16
2022-07-01 19:45:00,904,135.2969,135.283,135.29,135.325,135.242
2022-07-01 20:00:00,851,135.301,135.289,135.291,135.32,135.271
2022-07-01 20:15:00,520,135.2747,135.286,135.255,135.307,135.24
2022-07-01 20:30:00,738,135.2641,135.249,135.271,135.29,135.212
2022-07-01 20:45:00,819,135.2472,135.27,135.214,135.277,135.073
2022-07-01 21:00:00,2,135.075,135.07,135.08,135.08,135.07
2022-07-03 19:00:00,1,135.049,135.049,135.049,135.049,135.049
2022-07-03 20:00:00,1,135.266,135.266,135.266,135.266,135.266
2022-07-03 20:15:00,1,135.322,135.322,135.322,135.322,135.322
2022-07-03 20:45:00,1,135.156,135.156,135.156,135.156,135.156
2022-07-03 21:00:00,5,135.2392,135.156,135.26,135.26,135.156
2022-07-03 21:15:00,2,135.2415,135.25,135.233,135.25,135.233
2022-07-03 21:30:00,23,135.25,135.252,135.255,135.256,135.231
2022-07-03 21:45:00,21,135.2478,135.249,135.228,135.259,135.228
2022-07-03 22:00:00,643,135.2836,135.26,135.283,135.318,135.252
2022-07-03 22:15:00,780,135.1999,135.281,135.205,135.288,135.143
2022-07-03 22:30:00,753,135.1614,135.208,135.148,135.21,135.123
2022-07-03 22:45:00,507,135.1458,135.151,135.135,135.168,135.116
2022-07-03 23:00:00,1416,135.2206,135.137,135.226,135.254,135.132
2022-07-03 23:15:00,1447,135.1967,135.228,135.177,135.242,135.16
2022-07-03 23:30:00,1232,135.1563,135.178,135.163,135.205,135.105
2022-07-03 23:45:00,1464,135.0732,135.158,135.002,135.177,134.99
2022-07-04 00:00:00,1870,134.9901,134.998,134.941,135.08,134.93
2022-07-04 00:15:00,2311,134.9156,134.942,134.926,134.952,134.881
2022-07-04 00:30:00,2439,135.0148,134.922,135.07,135.11,134.922
2022-07-04 00:45:00,2709,134.9653,135.067,134.918,135.078,134.87
2022-07-04 01:00:00,2658,135.0446,134.916,135.126,135.136,134.908
2022-07-04 01:15:00,2644,135.0525,135.125,134.957,135.127,134.924
2022-07-04 01:30:00,3661,134.8725,134.948,134.938,134.991,134.782
2022-07-04 01:45:00,3381,134.9647,134.935,135.023,135.026,134.906
2022-07-04 02:00:00,3376,135.0286,135.023,135.014,135.072,134.994
2022-07-04 02:15:00,2829,135.0079,135.013,135.032,135.047,134.928
2022-07-04 02:30:00,3153,135.0027,135.034,134.978,135.057,134.946
2022-07-04 02:45:00,2951,134.9814,134.978,135.009,135.029,134.935
2022-07-04 03:00:00,1800,135.0457,135.013,135.057,135.075,135.001
2022-07-04 03:15:00,1836,135.0494,135.054,135.037,135.074,135.022
2022-07-04 03:30:00,2191,135.0848,135.044,135.139,135.143,135.014
2022-07-04 03:45:00,1892,135.1524,135.136,135.168,135.177,135.12
2022-07-04 04:00:00,2601,135.1537,135.172,135.154,135.172,135.125
